date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:25:16	876880/876880	---M--	200	added ('OK')	image/png	etag:%22659559e5-d6150%22	https://demo.egenslab.com/html/triprex/preview/assets/img/home1/home1-banner-img1.png	demo.egenslab.com/html/triprex/preview/assets/img/home1/home1-banner-img1.png	(from https://demo.egenslab.com/html/triprex/preview/index.html)
18:25:16	571123/571123	---M--	200	added ('OK')	image/png	etag:%22659559e8-8b6f3%22	https://demo.egenslab.com/html/triprex/preview/assets/img/home1/home1-banner-img2.png	demo.egenslab.com/html/triprex/preview/assets/img/home1/home1-banner-img2.png	(from https://demo.egenslab.com/html/triprex/preview/index.html)
18:25:18	545871/545871	---M--	200	added ('OK')	image/png	etag:%22659559e6-8544f%22	https://demo.egenslab.com/html/triprex/preview/assets/img/home1/home1-banner-img3.png	demo.egenslab.com/html/triprex/preview/assets/img/home1/home1-banner-img3.png	(from https://demo.egenslab.com/html/triprex/preview/index.html)
18:25:18	705814/705814	---M--	200	added ('OK')	image/png	etag:%22659559f0-ac516%22	https://demo.egenslab.com/html/triprex/preview/assets/img/home1/home1-banner-img4.png	demo.egenslab.com/html/triprex/preview/assets/img/home1/home1-banner-img4.png	(from https://demo.egenslab.com/html/triprex/preview/index.html)
18:25:18	4133/4133	---M--	200	added ('OK')	image/png	etag:%22659559c8-1025%22	https://demo.egenslab.com/html/triprex/preview/assets/img/home1/customer-img-grp.png	demo.egenslab.com/html/triprex/preview/assets/img/home1/customer-img-grp.png	(from https://demo.egenslab.com/html/triprex/preview/index.html)
18:25:20	134815/134815	---M--	200	added ('OK')	image/png	etag:%22659559cd-20e9f%22	https://demo.egenslab.com/html/triprex/preview/assets/img/home1/about-img.png	demo.egenslab.com/html/triprex/preview/assets/img/home1/about-img.png	(from https://demo.egenslab.com/html/triprex/preview/index.html)
18:25:21	124621/124621	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2265955b06-1e6cd%22	https://demo.egenslab.com/html/triprex/preview/assets/img/home1//vector/about-img-bg-vector.svg	demo.egenslab.com/html/triprex/preview/assets/img/home1/vector/about-img-bg-vector.svg	(from https://demo.egenslab.com/html/triprex/preview/index.html)
18:25:21	59540/59540	---M--	200	added ('OK')	image/jpeg	etag:%22659559ef-e894%22	https://demo.egenslab.com/html/triprex/preview/assets/img/home1/destination-card-img1.jpg	demo.egenslab.com/html/triprex/preview/assets/img/home1/destination-card-img1.jpg	(from https://demo.egenslab.com/html/triprex/preview/index.html)
18:25:22	69138/69138	---M--	200	added ('OK')	image/jpeg	etag:%22659559eb-10e12%22	https://demo.egenslab.com/html/triprex/preview/assets/img/home1/destination-card-img2.jpg	demo.egenslab.com/html/triprex/preview/assets/img/home1/destination-card-img2.jpg	(from https://demo.egenslab.com/html/triprex/preview/index.html)
18:25:23	48128/48128	---M--	200	added ('OK')	image/jpeg	etag:%22659559ec-bc00%22	https://demo.egenslab.com/html/triprex/preview/assets/img/home1/destination-card-img3.jpg	demo.egenslab.com/html/triprex/preview/assets/img/home1/destination-card-img3.jpg	(from https://demo.egenslab.com/html/triprex/preview/index.html)
18:25:24	32789/32789	---M--	200	added ('OK')	image/jpeg	etag:%22659559e2-8015%22	https://demo.egenslab.com/html/triprex/preview/assets/img/home1/destination-card-img4.jpg	demo.egenslab.com/html/triprex/preview/assets/img/home1/destination-card-img4.jpg	(from https://demo.egenslab.com/html/triprex/preview/index.html)
18:25:27	145656/145656	---M--	200	added ('OK')	image/png	etag:%22659559dd-238f8%22	https://demo.egenslab.com/html/triprex/preview/assets/img/home1/package-card-img1.png	demo.egenslab.com/html/triprex/preview/assets/img/home1/package-card-img1.png	(from https://demo.egenslab.com/html/triprex/preview/index.html)
18:25:27	598700/598700	---M--	200	added ('OK')	image/jpeg	etag:%22659559e4-922ac%22	https://demo.egenslab.com/html/triprex/preview/assets/img/home1/destination-card-img5.jpg	demo.egenslab.com/html/triprex/preview/assets/img/home1/destination-card-img5.jpg	(from https://demo.egenslab.com/html/triprex/preview/index.html)
18:25:28	116816/116816	---M--	200	added ('OK')	image/png	etag:%22659559da-1c850%22	https://demo.egenslab.com/html/triprex/preview/assets/img/home1/package-card-img2.png	demo.egenslab.com/html/triprex/preview/assets/img/home1/package-card-img2.png	(from https://demo.egenslab.com/html/triprex/preview/index.html)
18:25:29	154399/154399	---M--	200	added ('OK')	image/png	etag:%22659559db-25b1f%22	https://demo.egenslab.com/html/triprex/preview/assets/img/home1/package-card-img3.png	demo.egenslab.com/html/triprex/preview/assets/img/home1/package-card-img3.png	(from https://demo.egenslab.com/html/triprex/preview/index.html)
18:25:30	135272/135272	---M--	200	added ('OK')	image/png	etag:%22659559df-21068%22	https://demo.egenslab.com/html/triprex/preview/assets/img/home1/package-card-img4.png	demo.egenslab.com/html/triprex/preview/assets/img/home1/package-card-img4.png	(from https://demo.egenslab.com/html/triprex/preview/index.html)
